category,avg_rating,n_loved,n_reviews,n_sold,name,price,rate_1,rate_2,rate_3,rate_4,rate_5,rate_with_cmt,rate_with_imgvid,shop_age,shop_follower,shop_n_product,shop_n_review,shop_name,shop_rate_feedback,shop_time_feedback
Điện thoại bàn,,Đã thích (1),,0,[Mã 11ELSALE hoàn 7% đơn 300K] Ampli High fax Hi -1200S chuyên dụng cho nhà nuôi yến,₫2.200.000 - ₫2.900.000,,,,,,,,27 tháng trước,611,149,646,hoainam24101996,94%,trong vài giờ
Điện thoại bàn,,Đã thích (3),,0,Điện thoại FPT BUK 10- hàng chính hãng,₫420.000,,,,,,,,27 tháng trước,147,21,155,winluxyrystore,15%,trong vài giờ
Điện thoại bàn,,Đã thích (3),,0,Máy In Bluetoot kết nối điện thoại,₫650.000,,,,,,,,4 năm trước,989,105,62,andynguyen93,74%,trong vài giờ
Điện thoại bàn,,Đã thích (1),,0,Chip AR-310ST - Dùng cho máy photo Sharp AR 5625/5631/M258/M318,₫70.000,,,,,,,,4 năm trước,399,1k,"1,8k",minhtien181,93%,trong vài giờ
Điện thoại bàn,,Đã thích (2),,0,Điện thoại nhật sharp nec 001n xách tay,₫1.200.000,,,,,,,,4 năm trước,378,914,92,nhutthao1988,37%,trong vài giờ
Điện thoại bàn,,Đã thích (1),,0,Điện Thoại Bàn Panasonic KX-TSC11 Màn Hình Hàng Mới,₫590.000,,,,,,,,16 tháng trước,1,29,10,ngannguyenhoply,64%,trong vài giờ
Điện thoại bàn,,Đã thích (21),,0,Khung và mạch máy khắc laser 3050 - 1222SA,₫1.510.000,,,,,,,,5 năm trước,261,156,193,tikiushop,14%,trong vài phút
Điện thoại bàn,,Đã thích (36),,0,"Tủ trưng bày điện thoại,tủ điện thoại",₫4.500.000,,,,,,,,25 tháng trước,"83,5k",133,637,thanhson10191,47%,trong vài giờ
Điện thoại bàn,,Đã thích (122),,0,Máy triệt lông laser busan korea - chỉnh postsize to nhỏ tia laser,₫38.888.000,,,,,,,,11 tháng trước,"1,1k",401,8,thietbispahanoi_giare,90%,trong vài giờ
Điện thoại bàn,,Đã thích (470),,0,Máy laser 12 tia xanh hitachi,₫1.750.000,,,,,,,,4 năm trước,"4,8k",263,864,hadaka_dh,86%,trong vài giờ
