category,avg_rating,n_loved,n_reviews,n_sold,name,price,rate_1,rate_2,rate_3,rate_4,rate_5,rate_with_cmt,rate_with_imgvid,shop_age,shop_follower,shop_n_product,shop_n_review,shop_name,shop_rate_feedback,shop_time_feedback
Pin,5.0,Đã thích (37),5.0,35,[Mã MINI11FFF giảm 5% đơn 150K] Sạc dự phòng 10.000 mAh Miniso chính hãng,₫260.000 - ₫266.000,1 Sao (0),2 Sao (0),3 Sao (0),4 Sao (0),5 Sao (13),Có Bình luận (7),Có hình ảnh / video (8),19 tháng trước,"405,8k","1,3k","53,8k",miniso_vietnam,100%,trong vài giờ
Pin,5.0,Đã thích (17),5.0,30,"Box sạc dự phòng 2 cell 21700, sạc nhanh 18w",₫75.000 - ₫215.000,,,,,,,,30 tháng trước,"4,2k",225,4k,doanminhquang27112016,86%,trong vài giờ
Pin,4.9,Đã thích (310),4.9,75,Sạc Dự Phòng Pin Dự Phòng Bảo Hành 1 Năm Pin Trâu Dung Lượng 20000MAH 2 Cổng Cắm Đèn Pin Siêu Sáng - BH 1 Năm,₫450.000,1 Sao (0),2 Sao (0),3 Sao (1),4 Sao (2),5 Sao (30),Có Bình luận (20),Có hình ảnh / video (14),3 năm trước,"15,7k",47,"12,4k",lianyihua,14%,trong vài giờ
Pin,4.9,Đã thích (25),4.9,81,Sạc dự phòng 10000mAh mini in họa tiết động vật đáng yêu,₫177.000,1 Sao (0),2 Sao (1),3 Sao (1),4 Sao (0),5 Sao (34),Có Bình luận (24),Có hình ảnh / video (21),4 năm trước,"25,6k","1,5k","40,1k",qianhai.vn,77%,trong vài giờ
Pin,4.8,Đã thích (3),4.8,182,BH 6TH - SẠC DỰ PHÒNG 20000MAH   -  SẠC  NHANH HÀNG CHUẨN,₫115.000 - ₫149.000,1 Sao (0),2 Sao (0),3 Sao (1),4 Sao (0),5 Sao (11),Có Bình luận (8),Có hình ảnh / video (7),22 tháng trước,20,288,63,cuongthao199,57%,trong vài giờ
Pin,4.8,Đã thích (3),4.8,405,"Pin sạc dự phòng 30000mAh 15W Màn hình LED Baseus Bipow Digital Display Power BanK  2 Cổng sạc nhanh , bảo hành 24 tháng",₫205.000 - ₫380.000,1 Sao (0),2 Sao (0),3 Sao (0),4 Sao (1),5 Sao (4),Có Bình luận (5),Có hình ảnh / video (5),4 năm trước,"5,2k",165,"1,3k",m0978997202,95%,trong vài giờ
Pin,5.0,Đã thích (1),5.0,45,Sạc dự phòng chính hãng WK-099 dung lượng 10.000 mAh sạc nhanh có màn led,₫360.000,1 Sao (0),2 Sao (0),3 Sao (0),4 Sao (0),5 Sao (9),Có Bình luận (6),Có hình ảnh / video (9),7 tháng trước,370,121,805,phukienrongvang.vn,89%,trong vài giờ
Pin,5.0,Đã thích (3),5.0,19,"Pin sạc dự phòng Magicsee E1000S 10000mAh 18W - Đèn Led hiển thị Dung lượng Pin - 2 Cổng sạc nhanh USB, 1 Cổng sạc TypeC",₫249.000,,,,,,,,31 tháng trước,70k,145,"9,5k",smartnewhcm,99%,trong vài giờ
Pin,5.0,Đã thích (1),5.0,68,[Mã 11ELSALE hoàn 7% đơn 300K] Sạc dự phòng sạc nhanh 20w hỗ trợ sạc không dây chính hãng Baseus 10000mah,₫559.000,1 Sao (0),2 Sao (0),3 Sao (0),4 Sao (0),5 Sao (9),Có Bình luận (5),Có hình ảnh / video (4),17 tháng trước,"2,1k",215,"7,8k",tophanoi_store,84%,trong vài giờ
Pin,5.0,Đã thích (19),5.0,51,Hộp pin sạc dự phòng 18650 cổng USB cho điện thoại tích hợp móc khóa mang đi tiện dụng,₫12.000 - ₫17.000,1 Sao (0),2 Sao (0),3 Sao (0),4 Sao (0),5 Sao (11),Có Bình luận (4),Có hình ảnh / video (6),3 năm trước,"2,1k","1,2k","3,4k",newtrend.vn,1%,trong vài giờ
Pin,4.5,Đã thích (19),4.5,74,[ Xả Kho] Sạc Dự Phòng 5000-20000Mah Mẫu Mã Ngẫu Nhiên,₫40.000 - ₫150.000,,,,,,,,22 tháng trước,4k,124,"1,9k",tongkhophukien23,85%,trong vài giờ
