category,avg_rating,n_loved,n_reviews,n_sold,name,price,rate_1,rate_2,rate_3,rate_4,rate_5,rate_with_cmt,rate_with_imgvid,shop_age,shop_follower,shop_n_product,shop_n_review,shop_name,shop_rate_feedback,shop_time_feedback
Điện thoại,5.0,"Đã thích (1,5k)",5.0,51,Điện thoại Google Pixel 4 Xl Quốc tế 2 Sim  vua camera,₫6.799.000 - ₫6.849.000,1 Sao (0),2 Sao (0),3 Sao (0),4 Sao (0),5 Sao (8),Có Bình luận (5),Có hình ảnh / video (2),23 tháng trước,"4,4k",35,85,anhhungromls001,92%,trong vài giờ
Điện thoại,4.2,Đã thích (82),4.2,218,[Mã 11ELSALE hoàn 7% xu đơn 300k] ĐIỆN THOẠI V8 SANG TRỌNG VÀ ĐẲNG CẤP [TẶNG BAO DA],₫439.000,1 Sao (3),2 Sao (0),3 Sao (1),4 Sao (1),5 Sao (13),Có Bình luận (10),Có hình ảnh / video (6),18 tháng trước,"6,3k",171,637,phukientot18,54%,trong vài giờ
Điện thoại,4.4,Đã thích (60),4.4,130,Ốp điện thoại cho Xiaomi Redmi K20/K20 Pro,₫43.000,1 Sao (3),2 Sao (1),3 Sao (2),4 Sao (6),5 Sao (28),Có Bình luận (12),Có hình ảnh / video (4),31 tháng trước,"2,1k",596,"4,4k",womenfamily.vn,68%,trong vài giờ
Điện thoại,4.9,Đã thích (19),4.9,33,Tovit tháo điện thoại - 5 chi tiết siêu cứng,₫50.000 - ₫120.000,,,,,,,,5 năm trước,234,46,366,mobopon,66%,trong vài giờ
Điện thoại,4.9,Đã thích (520),4.9,13,Điện Thoại Sam Sung S3600 Nắp Gập Chính Hãng Loa To Sóng Khỏe,₫439.000 - ₫479.000,1 Sao (0),2 Sao (0),3 Sao (0),4 Sao (1),5 Sao (7),Có Bình luận (6),Có hình ảnh / video (5),4 năm trước,890,50,69,fonedepvietnam,80%,trong vài giờ
Điện thoại,4.7,Đã thích (942),4.7,94,NOKIA 1202 CHÍNH HÃNG CŨ (99%),₫130.000 - ₫165.000,,,,,,,,25 tháng trước,"2,2k",52,333,nguoibuongio79,21%,trong vài giờ
Điện thoại,4.9,Đã thích (38),4.9,54,"Điện Thoại Nokia 6300 main zin, màn zin chưa qua sửa chữa",₫300.000,1 Sao (1),2 Sao (0),3 Sao (0),4 Sao (0),5 Sao (28),Có Bình luận (21),Có hình ảnh / video (4),4 năm trước,"2,4k",234,"2,7k",duyqn6879,91%,trong vài giờ
Điện thoại,4.9,Đã thích (12),4.9,52,[LKBBZIN] Nắp Lưng Blackberry Priv Zin Tháo máy đẹp,₫170.000,1 Sao (0),2 Sao (0),3 Sao (1),4 Sao (2),5 Sao (24),Có Bình luận (12),Có hình ảnh / video (3),4 năm trước,961,224,"1,3k",congtc992,81%,trong vài giờ
Điện thoại,5.0,Đã thích (737),5.0,29,"Dây Sạc 3 mét Bọc Dù IPhone,Android, TYPE Ck",₫29.000,1 Sao (0),2 Sao (0),3 Sao (0),4 Sao (0),5 Sao (6),Có Bình luận (5),Có hình ảnh / video (4),8 tháng trước,"11,3k",179,512,phukienthanhlam,83%,trong vài giờ
Điện thoại,4.8,Đã thích (44),4.8,15,Main iphone 5s bypass+ tặng full cụm vỏ sau,₫200.000,1 Sao (0),2 Sao (0),3 Sao (1),4 Sao (0),5 Sao (8),Có Bình luận (6),Có hình ảnh / video (3),5 năm trước,234,46,366,mobopon,66%,trong vài giờ
Điện thoại,4.6,Đã thích (70),4.6,82,Điện thoại giá rẻ độc lạ hàng hiếm - phong thủy mùa Vu Lan - tặng bao da + 2 pin [Full box],₫699.000,1 Sao (1),2 Sao (2),3 Sao (1),4 Sao (1),5 Sao (30),Có Bình luận (22),Có hình ảnh / video (13),30 tháng trước,208,20,144,vu_quan_9,57%,trong vài giờ
Điện thoại,5.0,"Đã thích (2,7k)",5.0,445,[RẺ HỦY DIỆT]  ĐIÊN THOẠI LG V30 PLUS 128G mới Chính Hãng - CHƠI GEME PUBG + LIÊN QUÂN MUỌT,₫4.549.000 - ₫4.749.000,1 Sao (0),2 Sao (0),3 Sao (0),4 Sao (0),5 Sao (3),Có Bình luận (0),Có hình ảnh / video (0),4 năm trước,"20,7k",562,999,smartphonelethuan,50%,trong vài giờ
Điện thoại,4.9,Đã thích (322),4.9,29,ĐIỆN THOẠI SAMSUNG NOTE 8 XÁCH TAY - 64GB / ROM 6GB- CHIP Snap 835 Cực mạnh chiến được tất cả các game,₫5.999.000,1 Sao (0),2 Sao (0),3 Sao (1),4 Sao (1),5 Sao (19),Có Bình luận (17),Có hình ảnh / video (9),3 năm trước,"2,7k",115,727,vyoanhyenoanh,19%,trong vài giờ
Điện thoại,4.5,Đã thích (4),4.5,62,NẮP LƯNG NOKIA 8.1 / NOKIA X7 / 7.1 PLUS ZIN,₫85.000,1 Sao (2),2 Sao (0),3 Sao (0),4 Sao (0),5 Sao (14),Có Bình luận (6),Có hình ảnh / video (3),22 tháng trước,"1,2k","1,6k","5,4k",linhkiendienthoai688,36%,trong vài giờ
Điện thoại,4.3,"Đã thích (5,8k)",4.3,69,(Có Kèm Pin Sạc) Điện Thoại Nokia 1202 Zin Bảo Hành 12 Tháng,₫99.000 - ₫135.000,1 Sao (2),2 Sao (1),3 Sao (2),4 Sao (3),5 Sao (16),Có Bình luận (4),Có hình ảnh / video (3),4 năm trước,"8,5k",59,"1,2k",abcdeghikccc,89%,trong vài giờ
Điện thoại,4.8,Đã thích (31),4.8,29,[Mã 11ELSALE hoàn 7% xu đơn 300k] Điện thoại Nokia 3.4 4GB - 64GB bản 2 sim quốc tế,₫1.799.000 - ₫2.099.000,,,,,,,,4 năm trước,"11,8k",72,"1,8k",ljnh1993,92%,trong vài giờ
Điện thoại,4.8,Đã thích (33),4.8,60,"ĐIỆN THOẠI NGƯỜI GIÀ MASSTEL FAMI 9- F50 -FAMI 11-FAMI 12 nắp gập thời trang,2 sim, pin trâu,sóng khỏe, loa to,đọc số",₫110.000 - ₫329.000,1 Sao (0),2 Sao (0),3 Sao (0),4 Sao (4),5 Sao (18),Có Bình luận (9),Có hình ảnh / video (6),5 năm trước,"38,1k",436,"9,6k",cucre.vn,83%,trong vài giờ
