category,avg_rating,n_loved,n_reviews,n_sold,name,price,rate_1,rate_2,rate_3,rate_4,rate_5,rate_with_cmt,rate_with_imgvid,shop_age,shop_follower,shop_n_product,shop_n_review,shop_name,shop_rate_feedback,shop_time_feedback
Màn hình,5.0,Đã thích (6),5.0,14,"màn hình lg v50s, g8x",₫1.800.000,1 Sao (0),2 Sao (0),3 Sao (0),4 Sao (0),5 Sao (10),Có Bình luận (8),Có hình ảnh / video (4),6 năm trước,77,56,133,knmobile,87%,trong vài giờ
Màn hình,5.0,Đã thích (1),5.0,15,Set 10 điện trở nhiệt NTC 2.5D-11 2.5D20 3D-15 8D-9 8D-15 8D-20 16D-9 16D-20 20D-9 47D-15,₫20.601 - ₫35.931,1 Sao (0),2 Sao (0),3 Sao (0),4 Sao (0),5 Sao (5),Có Bình luận (1),Có hình ảnh / video (0),10 tháng trước,"1,6k",555,"5,8k",inventor.vn,94%,trong vài giờ
Màn hình,5.0,Đã thích (5),5.0,20,[Mã 11ELSALE hoàn 7% đơn 300K] Màn Hình Bộ Vivo y51 Zin Hàng Công Ty,₫330.000,1 Sao (0),2 Sao (0),3 Sao (0),4 Sao (0),5 Sao (8),Có Bình luận (2),Có hình ảnh / video (1),4 năm trước,"1,1k",959,"3,7k",qbshop2nd,78%,trong vài giờ
Màn hình,5.0,Đã thích (3),5.0,9,[Mã 11ELSALE hoàn 7% đơn 300K] Màn hình máy tính 19.5inch LCD Dell E2020H (1600 x 900/TN/60Hz/5 ms) - Hãng phân phối,₫3.545.000,,,,,,,,3 năm trước,"12,1k","1,7k","32,3k",huynhlamcomputer,88%,trong vài giờ
Màn hình,5.0,Đã thích (95),5.0,8,Màn hình iPhone 8 Plus ép kính  [ Zin chính hãng ],₫680.000 - ₫890.000,1 Sao (0),2 Sao (0),3 Sao (0),4 Sao (0),5 Sao (6),Có Bình luận (2),Có hình ảnh / video (1),34 tháng trước,"6,5k",201,542,nguyen_thai_duong.95,94%,trong vài giờ
Màn hình,5.0,Đã thích (6),5.0,7,"Màn hình mi9t , k20 , k20 pro",₫2.650.000,1 Sao (0),2 Sao (0),3 Sao (0),4 Sao (0),5 Sao (6),Có Bình luận (5),Có hình ảnh / video (2),32 tháng trước,35,38,86,phukienthapcam,84%,trong vài giờ
Màn hình,4.0,Đã thích (625),4.0,9,MÀN HÌNH SAM SUNG J7 plus / C710F / C7100 - HÀNG CHẤT LƯỢNG - CẢM ỨNG MƯỢT MÀ,₫650.000,1 Sao (0),2 Sao (1),3 Sao (1),4 Sao (0),5 Sao (3),Có Bình luận (2),Có hình ảnh / video (1),5 tháng trước,"10,2k",155,48,thanhluanlcd_86,72%,trong vài giờ
Màn hình,3.7,,3.7,7,Màn hình 15 - 17 inch vuông [ giá rẻ ],₫650.000,,,,,,,,5 năm trước,43,78,105,chodocuvanloc,91%,trong vài giờ
Màn hình,4.7,Đã thích (1),4.7,6,"[Mã 11ELSALE hoàn 7% đơn 300K] Màn hình HP P204v 19,5 inch (5RD66AA) - Hàng Chính Hãng",₫3.090.000,1 Sao (0),2 Sao (0),3 Sao (0),4 Sao (1),5 Sao (2),Có Bình luận (1),Có hình ảnh / video (1),4 năm trước,"2,6k",410,"1,5k",trungbim92,99%,trong vài phút
Màn hình,5.0,Đã thích (2),5.0,18,Màn Hình HMI OP320-A V8.0,₫490.000,1 Sao (0),2 Sao (0),3 Sao (0),4 Sao (0),5 Sao (2),Có Bình luận (0),Có hình ảnh / video (0),26 tháng trước,"4,2k","2,1k","10,3k",banbuondientu,97%,trong vài giờ
